listing_id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
2466942,True,27,57,80,355,2025-03-13,False
2468252,True,30,60,90,365,2025-03-13,False
2477325,True,18,48,69,159,2025-03-13,False
2477330,True,0,0,0,0,2025-03-13,False
2501387,True,30,60,90,365,2025-03-15,False
2501531,True,29,59,89,179,2025-03-13,False
2538828,True,2,2,2,73,2025-03-13,False
2547672,True,0,11,41,316,2025-03-13,False
2551952,True,5,26,49,161,2025-03-13,False
2554353,True,28,58,88,88,2025-03-13,False
2622950,True,10,23,40,301,2025-03-13,False
2637385,True,13,29,41,268,2025-03-14,False
2657916,True,30,60,90,365,2025-03-14,False
2685655,True,2,17,17,273,2025-03-13,False
2690487,True,1,10,18,63,2025-03-13,False
2694647,True,0,0,0,0,2025-03-14,True
2791050,True,4,11,21,227,2025-03-13,False
2874685,True,25,55,85,288,2025-03-14,False
2919216,True,1,1,1,1,2025-03-14,False
2964999,True,0,0,0,0,2025-03-13,False
3103276,True,3,10,18,257,2025-03-13,False
3119991,True,0,0,0,0,2025-03-14,False
3136813,True,7,21,39,39,2025-03-13,False
3175218,True,5,6,6,6,2025-03-13,False
3199232,True,5,17,31,291,2025-03-13,False
3201115,True,0,6,9,260,2025-03-14,False
3237702,True,0,0,27,117,2025-03-15,False
3317645,True,4,10,22,254,2025-03-13,False
3385117,True,0,0,0,0,2025-03-13,False
3457199,True,30,60,90,365,2025-03-14,False
3476805,True,9,9,9,111,2025-03-14,False
3526640,True,8,37,61,151,2025-03-13,False
3538921,True,3,32,62,337,2025-03-13,False
3544432,True,26,56,86,360,2025-03-14,False
3601131,True,3,6,21,49,2025-03-13,False
3604624,True,0,0,0,70,2025-03-14,True
3627430,True,3,11,28,65,2025-03-14,False
3633359,True,7,18,22,91,2025-03-13,False
3635540,True,27,57,87,252,2025-03-13,False
3637629,True,5,27,41,149,2025-03-14,True
3645740,True,0,0,0,0,2025-03-13,False
3651862,True,8,14,41,219,2025-03-13,False
3674676,True,25,55,82,354,2025-03-13,True
3760995,True,0,12,42,317,2025-03-13,False
3761001,True,1,1,1,1,2025-03-14,False
3767679,True,0,0,30,305,2025-03-13,False
3810218,True,0,9,13,177,2025-03-13,False
3821808,True,30,60,90,365,2025-03-13,False
3821950,True,30,60,90,365,2025-03-13,False
3822053,True,0,0,0,0,2025-03-13,False
3822134,True,0,0,0,0,2025-03-13,False
3851703,True,0,0,0,255,2025-03-13,False
3861766,True,0,6,10,132,2025-03-13,False
3884614,True,0,0,0,0,2025-03-13,False
3894739,True,8,23,40,40,2025-03-13,False
3897112,True,0,0,0,92,2025-03-13,False
3898306,True,0,0,10,284,2025-03-13,False
3907276,True,7,7,7,7,2025-03-13,True
3912498,True,0,0,10,285,2025-03-13,False
3964658,True,30,60,90,365,2025-03-14,False
3996972,True,11,11,11,226,2025-03-13,True
4016001,True,9,39,62,319,2025-03-13,False
4022565,True,0,3,33,308,2025-03-13,False
4024085,True,23,53,83,358,2025-03-15,False
4025236,True,23,53,83,358,2025-03-13,False
4025438,True,23,53,83,358,2025-03-13,False
4054129,True,0,0,4,177,2025-03-13,False
4055607,True,1,5,9,119,2025-03-15,False
4083095,True,2,3,3,172,2025-03-13,False
4085972,True,30,60,90,180,2025-03-13,False
4092017,True,29,59,89,364,2025-03-13,True
4204367,True,15,41,54,321,2025-03-15,False
4218583,True,27,42,42,307,2025-03-13,False
4231934,True,0,0,0,0,2025-03-14,True
4244705,True,0,0,0,0,2025-03-14,False
4284144,True,2,6,16,181,2025-03-13,True
4286181,True,23,23,34,309,2025-03-13,False
4325533,True,9,20,33,276,2025-03-13,False
4343926,True,14,32,52,83,2025-03-13,True
4408378,True,2,13,24,234,2025-03-13,True
4411488,True,0,0,0,131,2025-03-13,False
4416095,True,0,0,0,0,2025-03-13,False
4420920,True,0,4,4,68,2025-03-13,False
4427874,True,0,0,0,241,2025-03-13,True
4447266,True,29,59,89,364,2025-03-13,True
