listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
978189538729805898,39930655,11,38.9158743,-77.04313739999999,3,1.0,1.0,2.0,107.0
978228622103292058,5269688,7,38.92867,-77.04045,4,,1.0,,109.0
978283890767051802,21570891,19,38.90742,-77.06425,5,,2.0,,194.5
978373967274220782,33736673,1,38.91032313460635,-77.00776282745898,4,,2.0,,102.0
978964131061053978,48949508,7,38.929981925955424,-77.03807688656799,4,1.0,0.0,2.0,96.0
979576532020966034,17934570,2,38.88379,-76.98769,1,1.0,1.0,1.0,121.0
979982467034397753,39930655,2,38.88558,-76.9924,2,1.0,1.0,1.0,156.0
980419685409570050,468788669,10,38.91458620033374,-77.02679761245179,6,2.0,3.0,4.0,348.0
981095928306623335,15153474,1,38.91215733333792,-77.00510538352516,6,2.5,3.0,3.0,225.0
981198845380395947,440730350,9,38.90904,-77.02511,4,2.0,2.0,2.0,179.0
981250944275235045,35340389,16,38.88124,-76.94241,7,1.5,4.0,3.0,118.0
981498244112477777,11028246,12,38.944139561798806,-77.02675011008978,1,1.5,1.0,1.0,156.0
981740917265014747,121656411,9,38.9101363,-77.0207049,2,1.0,1.0,1.0,114.0
981849322724784981,537414057,1,38.92008,-77.01307,2,,1.0,,102.0
981925694936804354,440730350,9,38.90835918735164,-77.02683056931171,4,2.0,2.0,2.0,179.0
981988625408737395,537447303,1,38.92551278515121,-77.00712142606127,5,2.5,3.0,3.0,222.0
982211371499095810,140334352,35,38.89451,-76.94117,2,1.5,1.0,1.0,50.0
982682868582465715,228071809,1,38.92041,-77.01052,2,,,,102.0
982737550265675701,6027536,7,38.93483,-77.02371,10,2.5,3.0,5.0,186.0
982759429995229777,28568357,32,38.85920700254772,-76.965009943105,2,1.0,1.0,1.0,63.0
982776733902322894,14786356,5,38.9340447940683,-77.10607815072953,4,,1.0,,130.5
982934364801408025,428031517,18,38.89982067519393,-76.99224839984186,6,2.0,2.0,2.0,248.0
983195434993158079,442110827,17,38.90166261599567,-77.03102574029379,4,1.0,1.0,2.0,404.0
983269847304678246,20726180,2,38.885746903873006,-76.9987320163375,2,1.0,1.0,1.0,122.0
983653576828508371,202075543,12,38.95191258364214,-77.0133991913944,6,1.0,2.0,5.0,200.0
984269793418611306,32630954,1,38.919149352042325,-77.01290516492132,5,2.5,2.0,2.0,196.0
984380885339802236,178858755,16,38.89112,-76.93438,6,1.0,2.0,2.0,141.0
984676173227433301,28568357,32,38.85909,-76.96692,2,1.0,1.0,1.0,55.0
985214352097923954,107434423,33,38.8712174,-77.0068245,2,1.0,1.0,1.0,146.0
986211920981172395,52986459,33,38.87877633987977,-77.00111609810041,1,1.0,1.0,1.0,51.0
986919641283680497,3672670,25,38.87242,-77.01357,3,2.0,1.0,1.0,68.0
987770769073627245,60430717,18,38.8965,-76.97342,2,1.0,0.0,1.0,107.0
987828399418932529,2071346,7,38.92851,-77.01978,1,1.5,1.0,1.0,45.0
987902093817479585,416777308,17,38.89976429901769,-77.02016150703967,4,1.0,1.0,2.0,253.0
988335994411587092,87977393,4,38.9229716,-77.0457775,2,1.0,0.0,1.0,97.0
988383832653048895,538849626,13,38.962869249443415,-77.02258256947613,3,1.0,1.0,2.0,73.0
988508453504485935,214300179,28,38.90723989663608,-76.97902891397595,4,1.0,1.0,2.0,190.0
988541251868751940,40150960,9,38.91127,-77.02697,4,,1.0,,153.0
989002353005044355,17934570,2,38.88329699258564,-76.98625559745028,1,1.0,1.0,1.0,122.0
989198522024733630,30283594,18,38.9034,-77.00522,3,,1.0,,140.0
989288987344893634,17633,19,38.91236,-77.06422,6,3.5,3.0,3.0,437.0
989290359103377155,17633,11,38.908806,-77.03808,4,1.0,1.0,2.0,235.0
989914256490979977,99066572,1,38.913949,-77.0137086,2,,1.0,,102.0
990495388452580507,122382567,10,38.91833,-77.01813,4,1.0,2.0,2.0,155.0
990554931450362939,39930655,18,38.8965999,-76.9986531,6,2.0,2.0,2.0,224.0
991205076502959534,10619214,5,38.91107,-77.08227,4,1.5,2.0,1.0,164.0
991317127244903732,7650266,21,38.93667994979296,-77.05712760203001,2,,1.0,,111.0
991461580499869489,32935630,36,38.93354,-76.96167,2,1.0,1.0,1.0,58.0
992247988704939487,21773686,31,38.92981741721218,-76.97485260429782,5,2.0,2.0,2.0,135.0
992248445784849119,10508115,11,38.90802676889432,-77.04796098160024,3,1.0,1.0,1.0,197.0
992957952353684662,32935630,36,38.9350242659375,-76.96304010669711,2,1.0,1.0,1.0,66.0
993354756521176205,17934570,2,38.8846139489372,-76.98764784686462,1,1.0,1.0,1.0,106.0
994126105157192781,540166635,12,38.94022295831958,-77.0318455041256,8,2.5,3.0,5.0,332.0
994984331016955409,2071346,7,38.9305628103476,-77.01952942721795,1,1.5,1.0,1.0,42.0
995897527303705517,540166635,12,38.94012,-77.03089,6,2.0,2.0,4.0,188.0
995913043405720994,540166635,12,38.94130379109056,-77.03010077437733,8,3.0,3.0,5.0,244.0
996214034899342815,533234561,2,38.88658579437391,-76.97678571462346,2,,1.0,,155.0
996214393464522790,533234561,4,38.921891282484026,-77.04525975855043,2,1.0,1.0,1.0,114.0
996215495736387418,533234561,23,38.94357941228963,-77.0715665604564,2,,1.0,,136.0
996511192082907073,540701210,28,38.908934469176096,-76.98848919567524,5,1.0,2.0,3.0,156.0
996558551217866900,228071809,1,38.92099050172541,-77.00965954704793,2,,,,102.0
996572856399109846,228071809,1,38.91949,-77.00831,2,,,,102.0
998361144430924947,16631892,16,38.89037464390696,-76.92282213275973,8,3.5,4.0,4.0,175.0
998575123896425920,39930655,21,38.9267624,-77.053703,4,,3.0,,111.0
998575566666965458,39930655,21,38.9267624,-77.053703,2,1.0,1.0,1.0,93.0
998638730134070679,2242913,38,38.9081359,-76.9292835,10,2.0,4.0,4.0,106.0
998690618037812781,39930655,2,38.8900998,-76.99777569999999,2,1.0,1.0,1.0,131.0
999207006329812270,55034774,1,38.92038113900092,-77.00014249228882,4,,2.0,,102.0
999247664972316947,541253796,8,38.95638,-76.99208,3,1.0,1.0,2.0,60.0
1000826250389415584,205400381,7,38.92524791113341,-77.02950399800251,10,,4.0,,109.0
1000937913002824648,296689680,30,38.87561,-76.96701,4,1.0,2.0,2.0,94.0
1001416591038245453,79536630,16,38.88659,-76.92653,3,1.0,1.0,1.0,94.0
1001616613036611786,24222354,28,38.90420755504393,-76.98963633596503,7,3.0,3.0,5.0,173.0
1002032011373395794,109857750,14,38.8436,-76.99874,4,1.0,2.0,2.0,80.0
1002225111702503899,69203193,12,38.9435005,-77.0329455,2,,1.0,,96.0
1002901371177254584,20769661,17,38.90372,-77.01906,4,1.0,1.0,2.0,139.0
1003794591113429023,77706798,12,38.93622361041825,-77.04561791075128,3,1.0,1.0,1.0,126.0
1003845129913942341,2492536,18,38.899316451400026,-76.9990509432706,4,1.0,1.0,2.0,97.0
1003856857504667354,109813221,28,38.90493,-76.98301,4,1.0,2.0,2.0,95.0
1003874446533768606,126975069,32,38.86307643635968,-76.96275649802398,2,1.5,1.0,1.0,60.0
1004294091560230185,526547201,28,38.90648697944916,-76.99005849659443,2,,1.0,,105.0
1004360324303077589,501999278,4,38.92276,-77.04165,2,1.0,1.0,1.0,189.0
1004365036946926686,501999278,4,38.92276,-77.04165,4,,1.0,,150.0
