listing_id,latitude,longitude,hover_description,listing_url,price,property_type,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,reviews_per_month,host_id,host_name,host_identity_verified,host_listings_count,host_total_listings_count,license,neighbourhood,minimum_nights
867666915383121802,38.90283543896024,-76.98861291351362,Small Chic Private Room,https://www.airbnb.com/rooms/867666915383121802,217.0,Private room in townhouse,Private room,1,2,1,0,2024-05-26,2024-06-17,4.5,0.15,509660311,Tamara,True,2,2,Hosted License: 5007242201002635,"NE Ivy City, Arboretum, Trinidad, Carver Langston",4.0
867851813794296300,38.90340351025927,-76.98832068491441,Clean Chic Townhouse,https://www.airbnb.com/rooms/867851813794296300,85.0,Private room in home,Private room,1,13,4,0,2023-07-16,2025-04-06,4.62,0.55,509660311,Tamara,True,2,2,Hosted License: 5007242201002635<br />Unhosted License: 5007242201002635,"NE Ivy City, Arboretum, Trinidad, Carver Langston",4.0
868102882427362411,38.913495,-77.0249915,Belle Maison-1 bed 1 bath Apt in Shaw/Logan Circle,https://www.airbnb.com/rooms/868102882427362411,139.0,Entire rental unit,Entire home/apt,4,71,28,0,2023-04-22,2025-05-04,4.87,2.7,46630199,Home Sweet City,True,88,316,Hosted License: 5007242201002627,"NW-mid Shaw, Logan Circle",3.0
880295518825196611,38.8687078,-76.98242019999999,Bright and spacious bottom unit,https://www.airbnb.com/rooms/880295518825196611,106.0,Entire rental unit,Entire home/apt,2,12,3,1,2023-06-04,2025-06-11,4.58,0.48,144482916,Lisa,True,5,5,Hosted License: 5007242201002805<br />Unhosted License: 5007262201002615,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",2.0
868163996759438642,38.8819364,-76.9992214,Sojourn on 5th #102,https://www.airbnb.com/rooms/868163996759438642,128.0,Entire rental unit,Entire home/apt,3,0,0,0,,,,,39930655,Sojourn,True,566,777,,"SE Capitol Hill, Lincoln Park",31.0
868164575925033597,38.8819364,-76.9992214,Sojourn on 5th Unit 104,https://www.airbnb.com/rooms/868164575925033597,144.0,Entire rental unit,Entire home/apt,4,1,0,0,2023-11-03,2023-11-03,4.0,0.05,39930655,Sojourn,True,566,777,,"SE Capitol Hill, Lincoln Park",31.0
868164959965391429,38.8819364,-76.9992214,Sojourn on 5th,https://www.airbnb.com/rooms/868164959965391429,164.0,Entire rental unit,Entire home/apt,2,0,0,0,,,,,39930655,Sojourn,True,566,777,,"SE Capitol Hill, Lincoln Park",31.0
868165104177693250,38.8819364,-76.9992214,Sojourn on 5th Unit 202,https://www.airbnb.com/rooms/868165104177693250,144.0,Entire rental unit,Entire home/apt,4,2,2,0,2024-06-21,2024-11-27,5.0,0.17,39930655,Sojourn,True,566,777,,"SE Capitol Hill, Lincoln Park",31.0
868207067516966070,38.9131774,-77.0387519,Sojourn on 17th | Pets Welcome | #201,https://www.airbnb.com/rooms/868207067516966070,167.0,Entire rental unit,Entire home/apt,2,2,2,0,2024-09-14,2024-12-23,5.0,0.22,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868195132345901909,38.9131774,-77.0387519,Sojourn on 17th | Pets Welcome,https://www.airbnb.com/rooms/868195132345901909,167.0,Entire rental unit,Entire home/apt,2,1,1,0,2024-07-06,2024-07-06,5.0,0.09,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868197411022464775,38.9131774,-77.0387519,Sojourn on 17th | Pets Welcome | #202,https://www.airbnb.com/rooms/868197411022464775,154.0,Entire rental unit,Entire home/apt,2,0,0,0,,,,,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868197573930185358,38.9131774,-77.0387519,Sojourn Studio on 17th | Pets Welcome,https://www.airbnb.com/rooms/868197573930185358,217.0,Entire rental unit,Entire home/apt,2,3,1,0,2024-01-20,2024-12-06,5.0,0.17,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868198050996313768,38.9131774,-77.0387519,Sojourn on 17th | Pets Welcome,https://www.airbnb.com/rooms/868198050996313768,142.5,Entire rental unit,Entire home/apt,2,1,1,0,2025-04-02,2025-04-02,5.0,0.39,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868207076241807543,38.9131774,-77.0387519,Sojourn on 17th | Pets Welcome | #302,https://www.airbnb.com/rooms/868207076241807543,154.0,Entire rental unit,Entire home/apt,2,0,0,0,,,,,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868208125416244038,38.91277090000001,-77.04135459999999,Sojourn on R | Studio | Pets Welcome,https://www.airbnb.com/rooms/868208125416244038,149.0,Entire rental unit,Entire home/apt,2,0,0,0,,,,,39930655,Sojourn,True,566,777,Exempt,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868209019778870068,38.914324,-77.04398669999999,Sojourn | The 1911 | 1 BR,https://www.airbnb.com/rooms/868209019778870068,142.5,Entire rental unit,Entire home/apt,2,0,0,0,,,,,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868209161625633515,38.914324,-77.04398669999999,Sojourn | S Street Loft,https://www.airbnb.com/rooms/868209161625633515,142.5,Entire rental unit,Entire home/apt,4,0,0,0,,,,,39930655,Sojourn,True,566,777,,"NW-mid Dupont Circle, Connecticut Avenue/K Street",31.0
868210389078044738,38.88644800000001,-77.00326470000002,Spectacular 1 BDR/1 BA Apt. Walk to Capitol!,https://www.airbnb.com/rooms/868210389078044738,164.0,Entire rental unit,Entire home/apt,3,1,0,0,2023-08-19,2023-08-19,5.0,0.04,39930655,Sojourn,True,566,777,,"SE Capitol Hill, Lincoln Park",31.0
868536132648376720,38.89231,-76.99825,Historic Carriage House Apartment Above Garage,https://www.airbnb.com/rooms/868536132648376720,133.0,Entire rental unit,Entire home/apt,2,97,34,0,2023-05-14,2025-05-16,4.92,3.8,34225322,Terry Davis,True,1,2,Hosted License: 5007242201002037,"NE Union Station, Stanton Park, Kingman Park",2.0
868819885504103700,38.89802699999999,-76.9963889,Charming and Historic Apartment in Capitol Hill,https://www.airbnb.com/rooms/868819885504103700,139.0,Entire rental unit,Entire home/apt,4,69,20,1,2023-06-08,2025-05-24,4.8,2.79,46630199,Home Sweet City,True,88,316,Hosted License: 5007262201002562,"NE Union Station, Stanton Park, Kingman Park",3.0
869441769725225429,38.92148193060696,-76.98716643911777,Zen Rowhome,https://www.airbnb.com/rooms/869441769725225429,108.0,Entire home,Entire home/apt,6,53,16,1,2023-04-30,2025-05-26,4.68,2.04,4008680,Hindeke,True,1,1,Hosted License: 5007262201002491,"NE Brookland, Brentwood, Langdon",2.0
887772296458123770,38.90959,-77.05642,Historic Georgetown Townhome: Walkable Location!,https://www.airbnb.com/rooms/887772296458123770,190.0,Entire townhouse,Entire home/apt,6,26,11,2,2023-06-04,2025-06-05,4.69,1.05,122382567,Evolve,True,1268,2762,Unhosted License: 5007242201002548,"NW-far Georgetown, Burleith/Hillandale",3.0
870956314111881936,38.9028792,-77.0539156,Chic D.C. Condo + Walking Paradise + Pet Friendly,https://www.airbnb.com/rooms/870956314111881936,150.0,Entire rental unit,Entire home/apt,2,0,0,0,,,,,11410590,Veronika,True,1,5,,"NW-mid West End, Foggy Bottom, GWU",180.0
870990027139972443,38.924703980624,-77.00920685914636,Two-bedroom oasis,https://www.airbnb.com/rooms/870990027139972443,248.0,Private room in home,Private room,5,6,0,0,2024-03-16,2024-05-20,4.83,0.39,11269729,Amber,False,1,1,Hosted License: 5007242201003132,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",2.0
871026284744865705,38.84288,-76.98839,Stylish Chic Suite FREE PKG Extended Stays Welcome,https://www.airbnb.com/rooms/871026284744865705,105.0,Entire rental unit,Entire home/apt,4,1,0,0,2024-05-01,2024-05-01,5.0,0.07,510341453,Bertrand,True,3,3,Exempt,"SE Douglas, Shipley Terrace",31.0
871585201277840315,38.84314,-76.98835,Cozy And Peaceful Suite Extended Stays Welcome 31+,https://www.airbnb.com/rooms/871585201277840315,107.0,Entire rental unit,Entire home/apt,4,1,0,0,2024-04-02,2024-04-02,2.0,0.07,510341453,Bertrand,True,3,3,Exempt,"SE Douglas, Shipley Terrace",31.0
871803014398741136,38.93273866374408,-77.03257363391006,The Heights | Luxury Stay w/ Garage | Near Metro,https://www.airbnb.com/rooms/871803014398741136,111.0,Entire home,Entire home/apt,10,97,55,3,2023-06-28,2025-06-09,4.95,4.04,73780679,Cory,True,5,5,Hosted License: 5007242201000783,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1.0
871809460378286684,38.84293,-76.98998,Hidden Gem Extended Stays Welcome Near Metro Train,https://www.airbnb.com/rooms/871809460378286684,105.0,Entire rental unit,Entire home/apt,2,4,1,1,2023-07-08,2025-06-05,4.0,0.17,510341453,Bertrand,True,3,3,Exempt,"SE Congress Heights, Bellevue, Washington Highlands",31.0
872973641593210596,38.88639,-76.99167,Capitol Hill English Basement,https://www.airbnb.com/rooms/872973641593210596,115.0,Entire rental unit,Entire home/apt,2,71,46,3,2024-02-18,2025-05-26,4.99,4.38,42253071,Kellie,True,1,1,Hosted License: 5007242201003286,"SE Capitol Hill, Lincoln Park",3.0
873083491990298354,38.91500333647504,-77.0345423840829,Walk To So Much - Great Location -  Vet Owned,https://www.airbnb.com/rooms/873083491990298354,140.0,Entire condo,Entire home/apt,2,0,0,0,,,,,425019452,Brian M,True,20,26,,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",31.0
873083656766863716,38.8905438,-77.00153279999999,Tiny House 3 blocks to Capitol  Patio  Vet Owned,https://www.airbnb.com/rooms/873083656766863716,190.0,Entire townhouse,Entire home/apt,4,6,5,1,2024-05-08,2025-06-02,5.0,0.44,425019452,Brian M,True,20,26,Exempt,"SE Capitol Hill, Lincoln Park",31.0
873283555662403687,38.93411252466159,-77.02191324498152,Spacious DC Rowhouse w/Parking+Metro!,https://www.airbnb.com/rooms/873283555662403687,111.0,Entire home,Entire home/apt,8,61,22,2,2023-05-28,2025-06-08,4.95,2.43,80888415,Zulaa,True,3,5,Hosted License: 5007242201002997,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2.0
873289002194600692,38.9070037,-77.0481302,Bright Dupont Circle Gem 1BD1BA,https://www.airbnb.com/rooms/873289002194600692,102.0,Entire condo,Entire home/apt,2,2,2,0,2024-07-14,2025-04-12,5.0,0.18,43352899,Amy,True,2,3,,"NW-mid West End, Foggy Bottom, GWU",31.0
873321296064967976,38.93299112556495,-77.02163273199749,English Basement 2 bd+Metro,https://www.airbnb.com/rooms/873321296064967976,154.0,Entire home,Entire home/apt,5,10,7,4,2023-05-04,2025-06-15,4.8,0.39,80888415,Zulaa,True,3,5,Exempt,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2.0
874065376435968341,38.90728,-77.06199,Fusion of Luxury Living and Comfort In G-town,https://www.airbnb.com/rooms/874065376435968341,323.0,Entire rental unit,Entire home/apt,5,122,43,0,2023-07-28,2025-02-26,4.88,5.3,21570891,Marsh,True,18,37,Exempt,"NW-far Georgetown, Burleith/Hillandale",31.0
874476532101432568,38.90663,-77.05657,"Stunning Georgetown Penthouse 2BR 2.5BA, Deck, Pkg",https://www.airbnb.com/rooms/874476532101432568,190.0,Entire condo,Entire home/apt,4,0,0,0,,,,,17633,Charlotte,True,25,108,,"NW-far Georgetown, Burleith/Hillandale",31.0
874896739097261969,38.8867281,-77.0003517,Sojourn Studio on Seward near Library of Congress,https://www.airbnb.com/rooms/874896739097261969,185.0,Entire rental unit,Entire home/apt,2,81,40,0,2023-05-02,2025-05-12,4.73,3.12,39930655,Sojourn,True,566,777,Exempt,"SE Capitol Hill, Lincoln Park",1.0
893463447642775565,38.91494492634676,-77.0177761092782,"2 Free onsite parking! Cheerful, convenient & cozy",https://www.airbnb.com/rooms/893463447642775565,140.0,Entire townhouse,Entire home/apt,6,94,19,0,2023-07-31,2024-09-26,4.8,4.1,255864238,Nabeel,True,3,7,Exempt,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",31.0
875470162152099782,38.91611,-77.02158,Downtown |Views | Luxury | Sunny,https://www.airbnb.com/rooms/875470162152099782,185.0,Entire rental unit,Entire home/apt,2,33,16,3,2023-04-28,2025-06-01,4.79,1.27,8139997,Jay,True,89,217,Exempt,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",30.0
876059853602705687,38.91669,-77.02504,Luxury| 2 bedrooms | Heart of Shaw,https://www.airbnb.com/rooms/876059853602705687,157.0,Entire rental unit,Entire home/apt,4,34,18,3,2023-05-05,2025-06-05,4.62,1.32,8139997,Jay,True,89,217,Exempt,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",30.0
